isChapter, link, compareLink, text, isChildLink, similarityRatio, containsChapter, endsWithNumber
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-187,chapter/return-of-immortal-emperor/chapter-187,#187 - Chapter 18704-08-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-186,chapter/return-of-immortal-emperor/chapter-186,#186 - Chapter 18604-07-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-185,chapter/return-of-immortal-emperor/chapter-185,#185 - chapter 18504-04-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-184,chapter/return-of-immortal-emperor/chapter-184,#184 - Chapter 18404-02-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-183,chapter/return-of-immortal-emperor/chapter-183,#183 - Chapter 18303-31-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-182,chapter/return-of-immortal-emperor/chapter-182,#182 - chapter 18203-29-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-181,chapter/return-of-immortal-emperor/chapter-181,#181 - chapter 18103-29-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-180,chapter/return-of-immortal-emperor/chapter-180,#180 - Chapter 18003-27-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-179,chapter/return-of-immortal-emperor/chapter-179,#179 - Chapter 17903-26-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-178,chapter/return-of-immortal-emperor/chapter-178,#178 - Chapter 17803-26-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-177,chapter/return-of-immortal-emperor/chapter-177,#177 - Chapter 17703-26-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-176,chapter/return-of-immortal-emperor/chapter-176,#176 - Chapter 17603-25-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-175,chapter/return-of-immortal-emperor/chapter-175,#175 - Chapter 17503-23-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-174,chapter/return-of-immortal-emperor/chapter-174,#174 - Chapter 17403-19-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-173,chapter/return-of-immortal-emperor/chapter-173,#173 - Chapter 17303-16-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-172,chapter/return-of-immortal-emperor/chapter-172,#172 - Chapter 17203-12-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-171,chapter/return-of-immortal-emperor/chapter-171,#171 - Chapter 17103-08-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-170,chapter/return-of-immortal-emperor/chapter-170,#170 - Chapter 17003-03-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-169,chapter/return-of-immortal-emperor/chapter-169,#169 - Chapter 16902-25-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-168,chapter/return-of-immortal-emperor/chapter-168,#168 - Chapter 16802-20-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-167,chapter/return-of-immortal-emperor/chapter-167,#167 - Chapter 16702-12-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-166,chapter/return-of-immortal-emperor/chapter-166,#166 - Chapter 16602-08-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-165,chapter/return-of-immortal-emperor/chapter-165,#165 - Chapter 16502-03-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-164,chapter/return-of-immortal-emperor/chapter-164,#164 - Chapter 16401-31-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-163,chapter/return-of-immortal-emperor/chapter-163,#163 - Chapter 16301-25-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-162,chapter/return-of-immortal-emperor/chapter-162,#162 - Chapter 16201-19-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-161,chapter/return-of-immortal-emperor/chapter-161,#161 - Chapter 16101-17-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-160,chapter/return-of-immortal-emperor/chapter-160,#160 - Chapter 16001-14-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-159,chapter/return-of-immortal-emperor/chapter-159,#159 - Chapter 15901-11-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-158,chapter/return-of-immortal-emperor/chapter-158,#158 - Chapter 15801-09-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-157,chapter/return-of-immortal-emperor/chapter-157,#157 - Chapter 15701-07-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-156,chapter/return-of-immortal-emperor/chapter-156,#156 - chapter 15601-06-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-154,chapter/return-of-immortal-emperor/chapter-154,#154 - Chapter 15412-31-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-153,chapter/return-of-immortal-emperor/chapter-153,#153 - Chapter 15312-28-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-152,chapter/return-of-immortal-emperor/chapter-152,#152 - Chapter 15212-24-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-151,chapter/return-of-immortal-emperor/chapter-151,#151 - Chapter 15112-19-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-150,chapter/return-of-immortal-emperor/chapter-150,#150 - Chapter 15012-14-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-149,chapter/return-of-immortal-emperor/chapter-149,#149 - Chapter 14912-10-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-148,chapter/return-of-immortal-emperor/chapter-148,#148 - Chapter 14812-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-147,chapter/return-of-immortal-emperor/chapter-147,#147 - Chapter 14712-02-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-146,chapter/return-of-immortal-emperor/chapter-146,#146 - Chapter 14611-26-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-145,chapter/return-of-immortal-emperor/chapter-145,#145 - Chapter 14511-23-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-144,chapter/return-of-immortal-emperor/chapter-144,#144 - Chapter 14411-21-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-143,chapter/return-of-immortal-emperor/chapter-143,#143 - Chapter 14311-17-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-142,chapter/return-of-immortal-emperor/chapter-142,#142 - Chapter 14211-09-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-141,chapter/return-of-immortal-emperor/chapter-141,#141 - Chapter 14111-04-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-140,chapter/return-of-immortal-emperor/chapter-140,#140 - Chapter 14010-31-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-139,chapter/return-of-immortal-emperor/chapter-139,#139 - Chapter 13910-27-2020,true,0.8103975535168195,true,true
